,0,1
0,0,"0.005*""भवन"" + 0.005*""राक्षस"" + 0.005*""हनुमान"" + 0.005*""सीता"" + 0.005*""वानर"" + 0.005*""मा"" + 0.005*""सुन्दर"" + 0.005*""रावण"" + 0.005*""भया"" + 0.005*""रत"""
1,1,"0.005*""सीता"" + 0.005*""सुन्दर"" + 0.005*""भया"" + 0.005*""रावण"" + 0.005*""सक्ती"" + 0.005*""भवन"" + 0.005*""वानर"" + 0.005*""मान"" + 0.005*""स्त्री"" + 0.005*""हनुमान"""
2,2,"0.005*""सीता"" + 0.005*""भवन"" + 0.005*""राक्षस"" + 0.005*""रावण"" + 0.005*""वानर"" + 0.005*""स्त्री"" + 0.005*""सुन्दर"" + 0.005*""मान"" + 0.005*""मा"" + 0.005*""भया"""
3,3,"0.021*""भवन"" + 0.018*""सीता"" + 0.014*""राक्षस"" + 0.014*""सुन्दर"" + 0.014*""भया"" + 0.014*""रावण"" + 0.014*""वानर"" + 0.011*""सक्ती"" + 0.011*""मा"" + 0.011*""स्त्री"""
4,4,"0.005*""भवन"" + 0.005*""भया"" + 0.005*""स्त्री"" + 0.005*""सुन्दर"" + 0.005*""सीता"" + 0.005*""मान"" + 0.005*""मा"" + 0.005*""सक्ती"" + 0.005*""वानर"" + 0.005*""अन्तःपुर"""
5,0,"0.018*""हनुमान"" + 0.015*""युक्त"" + 0.015*""सब"" + 0.015*""सीता"" + 0.015*""रावण"" + 0.015*""मन"" + 0.011*""उत्साह"" + 0.011*""वानर"" + 0.011*""सुन्दर"" + 0.011*""सोच"""
6,1,"0.005*""रावण"" + 0.005*""सीता"" + 0.005*""मन"" + 0.005*""कह"" + 0.005*""सब"" + 0.005*""युक्त"" + 0.005*""हनुमान"" + 0.005*""उत्साह"" + 0.005*""सोच"" + 0.005*""सुन्दर"""
7,2,"0.005*""मन"" + 0.005*""सीता"" + 0.005*""हनुमान"" + 0.005*""युक्त"" + 0.005*""रावण"" + 0.005*""सब"" + 0.005*""कह"" + 0.005*""सुन्दर"" + 0.005*""हार"" + 0.005*""परस्त्री"""
8,3,"0.005*""हनुमान"" + 0.005*""रावण"" + 0.005*""सब"" + 0.005*""सीता"" + 0.005*""युक्त"" + 0.005*""सुन्दर"" + 0.005*""उत्साह"" + 0.005*""मन"" + 0.005*""हार"" + 0.005*""कह"""
9,4,"0.005*""हनुमान"" + 0.005*""रावण"" + 0.005*""वानर"" + 0.005*""सोच"" + 0.005*""मन"" + 0.005*""सुन्दर"" + 0.005*""कह"" + 0.005*""सीता"" + 0.005*""सब"" + 0.005*""अवकाश"""
10,0,"0.034*""राम"" + 0.019*""सीता"" + 0.015*""वानर"" + 0.015*""लोक"" + 0.015*""नदी"" + 0.011*""राज्य"" + 0.011*""जोकि"" + 0.011*""तीन"" + 0.011*""शोभा"" + 0.011*""शुभ"""
11,1,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""नदी"" + 0.005*""लोक"" + 0.005*""वानर"" + 0.005*""तीन"" + 0.005*""शोभा"" + 0.005*""राज्य"" + 0.005*""प्रीति"" + 0.005*""शुभ"""
12,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""नदी"" + 0.005*""वानर"" + 0.005*""लोक"" + 0.005*""योग्य"" + 0.005*""जगह"" + 0.005*""युक्त"" + 0.005*""वृक्ष"" + 0.005*""जोकि"""
13,3,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वानर"" + 0.005*""लोक"" + 0.005*""जोकि"" + 0.005*""तीन"" + 0.005*""प्राप्त"" + 0.005*""शुभ"" + 0.005*""राज्य"" + 0.005*""दुःख"""
14,4,"0.005*""राम"" + 0.005*""लोक"" + 0.005*""सीता"" + 0.005*""जोकि"" + 0.005*""तीन"" + 0.005*""नदी"" + 0.005*""वानर"" + 0.005*""शोभा"" + 0.005*""शुभ"" + 0.005*""है।"""
15,0,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""भूषण"" + 0.004*""सुन्दर"" + 0.004*""राम"" + 0.004*""चन्द्र"" + 0.004*""मान"" + 0.004*""तुल्य"" + 0.004*""दीन"" + 0.004*""मौर"""
16,1,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""चन्द्र"" + 0.004*""सुन्दर"" + 0.004*""दिखला"" + 0.004*""दुःख"" + 0.004*""काला"" + 0.004*""राम"" + 0.004*""प्यारा"" + 0.004*""रात"""
17,2,"0.034*""रावण"" + 0.019*""सीता"" + 0.013*""भूषण"" + 0.010*""राम"" + 0.010*""सुन्दर"" + 0.010*""चन्द्र"" + 0.010*""मान"" + 0.006*""निर्मल"" + 0.006*""शाखा"" + 0.006*""दीन"""
18,3,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""भूषण"" + 0.004*""मान"" + 0.004*""सुन्दर"" + 0.004*""राम"" + 0.004*""नेत्रोंवाली"" + 0.004*""भासती"" + 0.004*""प्यारा"" + 0.004*""पीड़ित"""
19,4,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""भूषण"" + 0.004*""चन्द्र"" + 0.004*""भया"" + 0.004*""काला"" + 0.004*""नेत्रोंवाली"" + 0.004*""भासती"" + 0.004*""बैठ"" + 0.004*""राम"""
20,0,"0.004*""पा"" + 0.004*""धन"" + 0.004*""वचन"" + 0.004*""तुल्य"" + 0.004*""जान"" + 0.004*""सीता"" + 0.004*""योग्य"" + 0.004*""रूप"" + 0.004*""रोक"" + 0.004*""उत्तर"""
21,1,"0.004*""छोड"" + 0.004*""सुन"" + 0.004*""योग्य"" + 0.004*""पा"" + 0.004*""सीता"" + 0.004*""तुझा"" + 0.004*""धन"" + 0.004*""वचन"" + 0.004*""दुखिया"" + 0.004*""यम"""
22,2,"0.017*""पा"" + 0.014*""सीता"" + 0.010*""वचन"" + 0.010*""योग्य"" + 0.010*""जान"" + 0.010*""रूप"" + 0.010*""सुन"" + 0.010*""तुझा"" + 0.010*""छोड"" + 0.010*""तुल्य"""
23,3,"0.004*""जान"" + 0.004*""पा"" + 0.004*""तुझा"" + 0.004*""उत्पन्न"" + 0.004*""वचन"" + 0.004*""रूप"" + 0.004*""योग्य"" + 0.004*""सुन"" + 0.004*""छोड़"" + 0.004*""छोड"""
24,4,"0.004*""पा"" + 0.004*""तुझा"" + 0.004*""धन"" + 0.004*""तुल्य"" + 0.004*""जान"" + 0.004*""मन"" + 0.004*""योग्य"" + 0.004*""सीता"" + 0.004*""मूर्प"" + 0.004*""मोह"""
25,0,"0.020*""तुझा"" + 0.020*""रावण"" + 0.020*""चाह"" + 0.020*""सीता"" + 0.017*""कह"" + 0.017*""राम"" + 0.010*""क्रोध"" + 0.010*""वचन"" + 0.010*""राक्षसी"" + 0.010*""योग्य"""
26,1,"0.005*""सीता"" + 0.005*""चाह"" + 0.005*""कह"" + 0.005*""रावण"" + 0.005*""राम"" + 0.005*""वचन"" + 0.005*""तुझा"" + 0.005*""योग्य"" + 0.005*""बोल"" + 0.005*""पैदेही"""
27,2,"0.005*""रावण"" + 0.005*""सीता"" + 0.005*""तुझा"" + 0.005*""चाह"" + 0.005*""कह"" + 0.005*""भर"" + 0.005*""राम"" + 0.005*""राक्षसी"" + 0.005*""योग्य"" + 0.005*""वचन"""
28,3,"0.005*""चाह"" + 0.005*""रावण"" + 0.005*""राम"" + 0.005*""तुझा"" + 0.005*""कह"" + 0.005*""सीता"" + 0.005*""योग्य"" + 0.005*""क्रोध"" + 0.005*""वचन"" + 0.005*""राक्षसी"""
29,4,"0.005*""सीता"" + 0.005*""कह"" + 0.005*""तुझा"" + 0.005*""राम"" + 0.005*""चाह"" + 0.005*""रावण"" + 0.005*""महीना"" + 0.005*""युक्त"" + 0.005*""राक्षसी"" + 0.005*""वचन"""
30,0,"0.023*""सीता"" + 0.013*""राक्षसी"" + 0.013*""पा"" + 0.010*""कह"" + 0.010*""शोक"" + 0.010*""हा"" + 0.010*""जीवन"" + 0.007*""रावण"" + 0.007*""पति"" + 0.007*""पन"""
31,1,"0.004*""सीता"" + 0.004*""राक्षसी"" + 0.004*""जीवन"" + 0.004*""पा"" + 0.004*""शोक"" + 0.004*""पन"" + 0.004*""हा"" + 0.004*""कह"" + 0.004*""मान"" + 0.004*""भो"""
32,2,"0.004*""सीता"" + 0.004*""कह"" + 0.004*""राक्षसी"" + 0.004*""शोक"" + 0.004*""पा"" + 0.004*""शीशम"" + 0.004*""पीड़ित"" + 0.004*""दुःख"" + 0.004*""राम"" + 0.004*""पकड"""
33,3,"0.004*""सीता"" + 0.004*""पा"" + 0.004*""राक्षसी"" + 0.004*""कह"" + 0.004*""मन"" + 0.004*""जीवन"" + 0.004*""शोक"" + 0.004*""रावण"" + 0.004*""वचन"" + 0.004*""राम"""
34,4,"0.004*""सीता"" + 0.004*""शोक"" + 0.004*""राक्षसी"" + 0.004*""पा"" + 0.004*""कह"" + 0.004*""हा"" + 0.004*""जीवन"" + 0.004*""राम"" + 0.004*""वाक्य"" + 0.004*""चाह"""
35,0,"0.005*""राम"" + 0.005*""रक्षा"" + 0.005*""भाई"" + 0.005*""मार"" + 0.005*""जान"" + 0.005*""चल"" + 0.005*""रावण"" + 0.005*""सीता"" + 0.005*""शूरवीर"" + 0.005*""प्यारा"""
36,1,"0.005*""राम"" + 0.005*""भाई"" + 0.005*""रक्षा"" + 0.005*""जान"" + 0.005*""मार"" + 0.005*""सीता"" + 0.005*""रावण"" + 0.005*""याग"" + 0.005*""बन्धु"" + 0.005*""यशस्विनी"""
37,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""जान"" + 0.005*""मार"" + 0.005*""रक्षा"" + 0.005*""भाई"" + 0.005*""प्यारा"" + 0.005*""मा"" + 0.005*""शोक"" + 0.005*""चल"""
38,3,"0.031*""राम"" + 0.017*""सीता"" + 0.017*""जान"" + 0.014*""रक्षा"" + 0.014*""मार"" + 0.014*""रावण"" + 0.014*""भाई"" + 0.011*""चल"" + 0.011*""प्यारा"" + 0.007*""शूरवीर"""
39,4,"0.005*""राम"" + 0.005*""जान"" + 0.005*""सीता"" + 0.005*""मार"" + 0.005*""भाई"" + 0.005*""रावण"" + 0.005*""रक्षा"" + 0.005*""वानर"" + 0.005*""मा"" + 0.005*""याग"""
40,0,"0.005*""सीता"" + 0.005*""कह"" + 0.005*""राम"" + 0.005*""वचन"" + 0.005*""हनुमान"" + 0.005*""देवि"" + 0.005*""वानर"" + 0.005*""सुन"" + 0.005*""भई"" + 0.005*""शोक"""
41,1,"0.005*""सीता"" + 0.005*""सुन"" + 0.005*""राम"" + 0.005*""हनुमान"" + 0.005*""पवनपुत्र"" + 0.005*""रावण"" + 0.005*""कह"" + 0.005*""वचन"" + 0.005*""प्रणाम"" + 0.005*""भई"""
42,2,"0.005*""सीता"" + 0.005*""राम"" + 0.005*""रावण"" + 0.005*""सुन"" + 0.005*""वचन"" + 0.005*""शोक"" + 0.005*""हनुमान"" + 0.005*""कह"" + 0.005*""भई"" + 0.005*""समीप"""
43,3,"0.035*""सीता"" + 0.018*""राम"" + 0.018*""सुन"" + 0.014*""भई"" + 0.014*""कह"" + 0.014*""वचन"" + 0.014*""हनुमान"" + 0.011*""कुशल"" + 0.011*""रावण"" + 0.011*""वानर"""
44,4,"0.005*""सीता"" + 0.005*""राम"" + 0.005*""सुन"" + 0.005*""कह"" + 0.005*""वचन"" + 0.005*""पवनपुत्र"" + 0.005*""प्रणाम"" + 0.005*""हनुमान"" + 0.005*""समीप"" + 0.005*""वानर"""
45,0,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""कह"" + 0.005*""मार"" + 0.005*""वानर"" + 0.005*""पति"" + 0.005*""सुन"" + 0.005*""हनुमान"" + 0.005*""रावण"""
46,1,"0.005*""राम"" + 0.005*""मार"" + 0.005*""वचन"" + 0.005*""कह"" + 0.005*""सुन"" + 0.005*""बोली"" + 0.005*""सीता"" + 0.005*""देवि"" + 0.005*""रावण"" + 0.005*""पति"""
47,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""जल्दी"" + 0.005*""बोली"" + 0.005*""पराक्रम"" + 0.005*""चद्द"" + 0.005*""पति"" + 0.005*""राक्षस"" + 0.005*""विभीषण"""
48,3,"0.052*""राम"" + 0.022*""सीता"" + 0.019*""वचन"" + 0.015*""सुन"" + 0.015*""रावण"" + 0.015*""वानर"" + 0.015*""कह"" + 0.015*""मार"" + 0.011*""बोली"" + 0.011*""राक्षस"""
49,4,"0.005*""राम"" + 0.005*""वानर"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""सुन"" + 0.005*""रावण"" + 0.005*""कह"" + 0.005*""मार"" + 0.005*""देवि"" + 0.005*""देव"""
50,0,"0.004*""कार्य"" + 0.004*""हनुमान"" + 0.004*""राक्षस"" + 0.004*""युद्ध"" + 0.004*""खडा"" + 0.004*""पास"" + 0.004*""पवनपुत्र"" + 0.004*""राम"" + 0.004*""कह"" + 0.004*""सोच"""
51,1,"0.004*""कार्य"" + 0.004*""हनुमान"" + 0.004*""खडा"" + 0.004*""राक्षस"" + 0.004*""नेत्र"" + 0.004*""युद्ध"" + 0.004*""पास"" + 0.004*""पवनपुत्र"" + 0.004*""रावण"" + 0.004*""सीता"""
52,2,"0.004*""कार्य"" + 0.004*""खडा"" + 0.004*""हनुमान"" + 0.004*""सीता"" + 0.004*""युद्ध"" + 0.004*""राम"" + 0.004*""धन"" + 0.004*""साधन"" + 0.004*""नष्ट"" + 0.004*""नेत्र"""
53,3,"0.027*""कार्य"" + 0.017*""हनुमान"" + 0.014*""युद्ध"" + 0.014*""खडा"" + 0.014*""राक्षस"" + 0.010*""पवनपुत्र"" + 0.010*""नेत्र"" + 0.010*""सीता"" + 0.010*""राम"" + 0.010*""रावण"""
54,4,"0.004*""कार्य"" + 0.004*""खडा"" + 0.004*""सीता"" + 0.004*""पास"" + 0.004*""पवनपुत्र"" + 0.004*""राक्षस"" + 0.004*""युद्ध"" + 0.004*""राम"" + 0.004*""नेत्र"" + 0.004*""रावण"""
55,0,"0.024*""राक्षस"" + 0.015*""हनुमान"" + 0.015*""रावण"" + 0.015*""मार"" + 0.012*""वानर"" + 0.009*""राक्षसेंद्र"" + 0.009*""युद्ध"" + 0.009*""सेना"" + 0.009*""मर"" + 0.009*""टूट"""
56,1,"0.004*""राक्षस"" + 0.004*""हनुमान"" + 0.004*""टूट"" + 0.004*""मार"" + 0.004*""राक्षसेंद्र"" + 0.004*""वानर"" + 0.004*""रावण"" + 0.004*""कुमार"" + 0.004*""भर"" + 0.004*""सेनापती"""
57,2,"0.004*""राक्षस"" + 0.004*""रावण"" + 0.004*""हनुमान"" + 0.004*""मार"" + 0.004*""वानर"" + 0.004*""सुन"" + 0.004*""भर"" + 0.004*""राक्षसेंद्र"" + 0.004*""उठा"" + 0.004*""महात्मा"""
58,3,"0.004*""राक्षस"" + 0.004*""रावण"" + 0.004*""मार"" + 0.004*""हनुमान"" + 0.004*""वानर"" + 0.004*""गिर"" + 0.004*""भया"" + 0.004*""भर"" + 0.004*""उठा"" + 0.004*""कुमार"""
59,4,"0.004*""राक्षस"" + 0.004*""मार"" + 0.004*""हनुमान"" + 0.004*""वानर"" + 0.004*""सेना"" + 0.004*""रावण"" + 0.004*""टूट"" + 0.004*""गिर"" + 0.004*""राक्षसेंद्र"" + 0.004*""मर"""
60,0,"0.004*""अहो"" + 0.004*""हनुमान"" + 0.004*""युक्त"" + 0.004*""दूत"" + 0.004*""आग"" + 0.004*""पूंछ"" + 0.004*""कह"" + 0.004*""भाग"" + 0.004*""महात्मा"" + 0.004*""वध"""
61,1,"0.004*""वानर"" + 0.004*""पूंछ"" + 0.004*""हनुमान"" + 0.004*""रावण"" + 0.004*""जान"" + 0.004*""कह"" + 0.004*""वध"" + 0.004*""युक्त"" + 0.004*""दूत"" + 0.004*""अहो"""
62,2,"0.016*""हनुमान"" + 0.016*""वानर"" + 0.013*""वध"" + 0.013*""अहो"" + 0.013*""पूंछ"" + 0.011*""दूत"" + 0.011*""राक्षस"" + 0.011*""आग"" + 0.011*""जान"" + 0.011*""युक्त"""
63,3,"0.004*""वानर"" + 0.004*""अहो"" + 0.004*""जान"" + 0.004*""कह"" + 0.004*""पूंछ"" + 0.004*""हनुमान"" + 0.004*""राक्षस"" + 0.004*""आग"" + 0.004*""रावण"" + 0.004*""दूत"""
64,4,"0.004*""हनुमान"" + 0.004*""पूंछ"" + 0.004*""वध"" + 0.004*""अहो"" + 0.004*""आग"" + 0.004*""दूत"" + 0.004*""कह"" + 0.004*""वानर"" + 0.004*""रावण"" + 0.004*""युक्त"""
